"-- First Please Select a Website --","-- First Please Select a Website --"
"The gift card account has been saved.","The gift card account has been saved."
"This Gift Card Account no longer exists.","This Gift Card Account no longer exists."
"This gift card account is already in the quote.","This gift card account is already in the quote."
"This gift card account wasn\'t found in the quote.","This gift card account wasn\'t found in the quote."
"To add or remove gift cards, <a href=""%s"">click here</a>.","To add or remove gift cards, <a href=""%s"">click here</a>."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Unable to create full code pool size. Please check settings and try again.","Unable to create full code pool size. Please check settings and try again."
"Unable to find a Gift Card Account to delete.","Unable to find a Gift Card Account to delete."
"Unable to generate new code pool.","Unable to generate new code pool."
"Unknown history action.","Unknown history action."
"Update gift card info","Update gift card info"
"Updated","Updated"
"Used","Used"
"WARNING: Save your configuration before running generation process.","WARNING: Save your configuration before running generation process."
"Website","Website"
"Wrong gift card account ID. Requested code: ""%s""","Wrong gift card account ID. Requested code: ""%s"""
"Wrong gift card account code: ""%s"".","Wrong gift card account code: ""%s""."
"Wrong gift card account website: %s.","Wrong gift card account website: %s."
"Wrong gift card code.","Wrong gift card code."
"Wrong or expired Gift Card Code.","Wrong or expired Gift Card Code."
"Yes","Yes"
"if empty no separation.","if empty no separation."
