"%s; rev #%s","%s; rev #%s"
"Version ""%s"" could not be removed because it is the last public version for its page.","Version ""%s"" could not be removed because it is the last public version for its page."
"Version ""%s"" could not be removed because its revision has been published.","Version ""%s"" could not be removed because its revision has been published."
"Version #","Version #"
"Version Control","Version Control"
"Version Information","Version Information"
"Version Label","Version Label"
"Version Revisions","Version Revisions"
"Version:","Version:"
"Versions","Versions"
"Website Root","Website Root"
"Yes","Yes"
"You should specify valid name","You should specify valid name"
"[No Owner]","[No Owner]"
